Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
Create a UK catch certificate,https://www.gov.uk/guidance/create-a-uk-catch-certificate,2 July 2025,Use the Fish Export Service to create a UK catch certificate for fish and shellfish caught by UK flagged vessels for export.,Create a UK catch certificate Use the Fish Export Service to create a UK catch certificate for fish and shellfish caught by UK flagged vessels for export.,"{""bart"": ""Stats"", ""roberta"": ""IIU""}"
Fishing vessel licence variations,https://www.gov.uk/government/publications/fishing-vessel-licence-variations,27 November 2025,The variation effective from 00:01hrs Thursday 01 January 2026,Fishing vessel licence variations The variation effective from 00:01hrs Thursday 01 January 2026,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Get permission for marine work,https://www.gov.uk/guidance/get-permission-for-marine-work,18 November 2025,"Find out if your marine activity needs a licence, exemption or permission from another authority or organisation.","Get permission for marine work Find out if your marine activity needs a licence, exemption or permission from another authority or organisation.","{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
Marine licensing exempted activities,https://www.gov.uk/guidance/marine-licensing-exempted-activities,18 November 2025,Contact details for all enquiries relating to marine licences,Marine licensing exempted activities Contact details for all enquiries relating to marine licences,"{""bart"": ""Funding"", ""roberta"": ""FVL""}"
EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates,https://www.gov.uk/guidance/eu-iuu-regulation-2026-changes,30 October 2025,"New EU Illegal, Unreported, and Unregulated fishing (IUU) requirements mean that UK exporters now need to provide additional information on catch certificates and other IUU documents. The changes detailed below had been incorporated into the catch certificate application. Exporters of fishery products will now need to familiarise themselves with the updated requirements to ensure continued compliance and avoid delays or rejections at border control points. These changes became mandatory in January 2026 and remain in effect.","EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates New EU Illegal, Unreported, and Unregulated fishing (IUU) requirements mean that UK exporters now need to provide additional information on catch certificates and other IUU documents. The changes detailed below had been incorporated into the catch certificate application. Exporters of fishery products will now need to familiarise themselves with the updated requirements to ensure continued compliance and avoid delays or rejections at border control points. These changes became mandatory in January 2026 and remain in effect.","{""bart"": ""IIU"", ""roberta"": ""IIU""}"
Fisheries and Seafood Scheme,https://www.gov.uk/guidance/fisheries-and-seafood-scheme,11 June 2025,Information about the Fisheries and Seafood Scheme,Fisheries and Seafood Scheme Information about the Fisheries and Seafood Scheme,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Create a UK processing statement,https://www.gov.uk/guidance/create-a-uk-processing-statement,15 April 2025,"Use this service to create a UK processing statement for fish and shellfish that have been imported or landed directly into the UK for processing, ready for export.","Create a UK processing statement Use this service to create a UK processing statement for fish and shellfish that have been imported or landed directly into the UK for processing, ready for export.","{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Marine licensing jurisdiction,https://www.gov.uk/guidance/marine-licensing-jurisdiction,18 November 2025,Guidance on where marine licensing applies and what the key terms mean.,Marine licensing jurisdiction Guidance on where marine licensing applies and what the key terms mean.,"{""bart"": ""IVMS"", ""roberta"": ""Conservative team""}"
Make a marine licence application,https://www.gov.uk/guidance/make-a-marine-licence-application,28 November 2024,"Details of how to apply for a marine licence, what documents you need to provide, how much it costs and how long it will take","Make a marine licence application Details of how to apply for a marine licence, what documents you need to provide, how much it costs and how long it will take","{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Record your catch,https://www.gov.uk/guidance/record-your-catch,9 October 2025,Create and submit catch records for all English and Welsh under 10 metre (U10m) flag vessels that fish in UK waters.,Record your catch Create and submit catch records for all English and Welsh under 10 metre (U10m) flag vessels that fish in UK waters.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
United Kingdom Single Issuing Authority (UKSIA),https://www.gov.uk/guidance/united-kingdom-single-issuing-authority-uksia,2 December 2025,The UKSIA manages UK domestic fishing vessel access to non-UK waters and foreign vessel access to UK waters.,United Kingdom Single Issuing Authority (UKSIA) The UKSIA manages UK domestic fishing vessel access to non-UK waters and foreign vessel access to UK waters.,"{""bart"": ""SIA"", ""roberta"": ""SIA""}"
Seagrass protection and recovery,https://www.gov.uk/government/publications/seagrass-protection-and-recovery,24 November 2025,"Information and guidance on UK seagrass, the value of this important marine habitat and the Marine Management Organisation's role in supporting its protection and recovery in England.","Seagrass protection and recovery Information and guidance on UK seagrass, the value of this important marine habitat and the Marine Management Organisation's role in supporting its protection and recovery in England.","{""bart"": ""Comms"", ""roberta"": ""Conservative team""}"
Marine Protected Areas (MPAs),https://www.gov.uk/guidance/marine-protected-areas-mpas,13 March 2023,The Marine Management Organisation (MMO) is responsible for managing fishing and marine non-licensable activities (mNLA) in England’s marine protected areas (MPAs). This includes ensuring fishing and mNLA management measures are put in place for England’s highly protected marine areas (HPMAs).,Marine Protected Areas (MPAs) The Marine Management Organisation (MMO) is responsible for managing fishing and marine non-licensable activities (mNLA) in England’s marine protected areas (MPAs). This includes ensuring fishing and mNLA management measures are put in place for England’s highly protected marine areas (HPMAs).,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Explore marine plans,https://www.gov.uk/guidance/explore-marine-plans,28 November 2024,"Find marine planning information for England, including data on marine licenses, environmental designations and policy information from regional marine plans.","Explore marine plans Find marine planning information for England, including data on marine licenses, environmental designations and policy information from regional marine plans.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Marine licensing: Sediment Analysis,https://www.gov.uk/guidance/marine-licensing-sediment-analysis-and-sample-plans,27 January 2025,Details of how to correctly sample and analyse sediment in support of a marine licence application.,Marine licensing: Sediment Analysis Details of how to correctly sample and analyse sediment in support of a marine licence application.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Understand your fishing vessel licence,https://www.gov.uk/guidance/understand-your-fishing-vessel-licence,2 December 2025,"How to understand each part of your fishing vessel licence – vessel details, conditions, schedule, annex and their current copies.","Understand your fishing vessel licence How to understand each part of your fishing vessel licence – vessel details, conditions, schedule, annex and their current copies.","{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Exporting or moving fish from the UK,https://www.gov.uk/guidance/exporting-or-moving-fish-from-the-uk,11 June 2025,How to export or move fish for human consumption from the UK.,Exporting or moving fish from the UK How to export or move fish for human consumption from the UK.,"{""bart"": ""SIA"", ""roberta"": ""Funding""}"
Contact MMO,https://www.gov.uk/guidance/contact-mmo,2 June 2025,Information to help you answer your query before you contact us.,Contact MMO Information to help you answer your query before you contact us.,"{""bart"": ""Funding"", ""roberta"": ""Planning Team""}"
How to arrange a burial at sea in the UK marine area,https://www.gov.uk/guidance/how-to-get-a-licence-for-a-burial-at-sea-in-england,19 February 2024,Permission is required for a burial at sea in the UK marine area.,How to arrange a burial at sea in the UK marine area Permission is required for a burial at sea in the UK marine area.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Marine licensing: Information you may need to supply to support your marine licence application,https://www.gov.uk/guidance/marine-licensing-impact-assessments,27 January 2025,Information about impact assessments for marine licence applications.,Marine licensing: Information you may need to supply to support your marine licence application Information about impact assessments for marine licence applications.,"{""bart"": ""Compliance"", ""roberta"": ""Conservative team""}"
The Blue Belt Programme,https://www.gov.uk/guidance/the-blue-belt-programme,22 July 2025,The Blue Belt Programme supports the UK Overseas Territories with the protection and sustainable management of their marine environments.,The Blue Belt Programme The Blue Belt Programme supports the UK Overseas Territories with the protection and sustainable management of their marine environments.,"{""bart"": ""Global Marine Team"", ""roberta"": ""Marine Planning""}"
Create a UK storage document,https://www.gov.uk/guidance/create-a-uk-storage-document,15 April 2025,"Use this service to create a UK storage document for fish and shellfish that have been imported or landed directly into the UK for storage, ready for export.","Create a UK storage document Use this service to create a UK storage document for fish and shellfish that have been imported or landed directly into the UK for storage, ready for export.","{""bart"": ""Stats"", ""roberta"": ""IIU""}"
